                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.3792,                0.84899,                 1.1751,                0.81746,                0.61848,                0.73459,                0.46681,                 1.2843,                0.75142,                  1.153,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.3795,                0.84925,                 1.1756,                0.81456,                0.61823,                0.73485,                0.46681,                 1.2843,                0.75083,                 1.1528,              0.0086338,              0.0086338,              0.0086338
                     71,                  1.379,                0.84695,                 1.1756,                0.80617,                0.62295,                0.73459,                0.46691,                 1.2852,                0.75102,                 1.1536,               0.008614,               0.008614,               0.008614
                     72,                 1.3752,                0.84744,                 1.1744,                0.81369,                0.62386,                0.73706,                0.46726,                 1.2833,                0.74896,                 1.1528,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.3766,                0.84573,                  1.174,                0.81508,                0.62372,                0.73667,                0.46705,                 1.2856,                0.74851,                 1.1538,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.3773,                0.84504,                 1.1742,                0.81215,                0.62453,                0.73744,                 0.4676,                 1.2839,                0.74711,                 1.1533,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.3765,                0.84496,                 1.1721,                0.81735,                0.62219,                0.73676,                0.46725,                 1.2828,                0.74749,                  1.152,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.3735,                0.84186,                 1.1712,                0.81673,                0.62196,                0.73747,                0.46799,                 1.2818,                0.74624,                 1.1527,               0.008515,               0.008515,               0.008515
                     77,                 1.3758,                 0.8425,                 1.1739,                0.81566,                0.62041,                0.73683,                0.46724,                 1.2837,                0.74726,                 1.1532,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.3733,                0.84107,                 1.1726,                0.80808,                0.62551,                0.73707,                0.46714,                 1.2834,                0.74701,                 1.1527,              0.0084754,              0.0084754,              0.0084754
                     79,                  1.374,                0.84165,                 1.1731,                0.81228,                0.62279,                0.73611,                0.46758,                 1.2826,                0.74585,                 1.1527,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.3708,                 0.8389,                 1.1704,                0.81531,                0.62143,                0.73634,                0.46743,                 1.2824,                0.74496,                 1.1524,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.3711,                0.84126,                 1.1711,                0.81338,                0.62428,                0.73684,                0.46793,                 1.2822,                0.74435,                 1.1521,               0.008416,               0.008416,               0.008416
                     82,                 1.3679,                0.83765,                 1.1684,                 0.8077,                0.62774,                0.73892,                0.46789,                 1.2838,                0.74305,                 1.1513,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.3694,                0.83694,                 1.1698,                0.81089,                0.62499,                0.73863,                0.46789,                 1.2848,                0.74284,                 1.1516,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.3673,                0.83516,                 1.1674,                0.81596,                0.62207,                0.73808,                0.46763,                 1.2859,                0.74346,                 1.1522,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.3689,                0.83543,                 1.1708,                0.81043,                0.62495,                0.73792,                0.46775,                 1.2845,                0.74335,                  1.152,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.3652,                0.83371,                 1.1676,                0.81578,                0.62335,                0.73767,                0.46832,                  1.283,                0.74269,                 1.1511,               0.008317,               0.008317,               0.008317
                     87,                 1.3649,                0.83404,                 1.1688,                0.81071,                0.62445,                0.73681,                0.46805,                 1.2831,                0.74265,                 1.1513,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.3632,                0.83095,                 1.1668,                0.80992,                0.62751,                0.73723,                0.46838,                 1.2837,                0.74127,                 1.1519,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.3653,                0.83113,                 1.1662,                0.81141,                0.62625,                0.73685,                0.46829,                 1.2831,                0.74015,                 1.1523,              0.0082576,              0.0082576,              0.0082576
