                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 0.0627,                0.05776,                0.82652,                      1,                      1,                  0.995,                0.99495,                0.04248,                0.03874,                 0.6774,                0.00736,                0.00736,                0.00736
                     82,                0.06224,                0.05654,                 0.8259,                      1,                      1,                  0.995,                0.99496,                0.04199,                  0.037,                0.67737,               0.007327,               0.007327,               0.007327
                     83,                    inf,                0.05711,                0.82684,                      1,                      1,                  0.995,                0.99495,                0.04174,                0.03729,                0.67741,               0.007294,               0.007294,               0.007294
                     84,                0.06288,                0.05862,                0.82684,                      1,                      1,                  0.995,                0.99495,                0.04136,                0.03574,                0.67713,               0.007261,               0.007261,               0.007261
                     85,                 0.0613,                0.05632,                0.82539,                      1,                      1,                  0.995,                0.99495,                0.04134,                0.03532,                0.67703,               0.007228,               0.007228,               0.007228
                     86,                 0.0624,                0.05742,                0.82604,                      1,                      1,                  0.995,                0.99495,                0.04181,                0.03587,                0.67723,               0.007195,               0.007195,               0.007195
                     87,                 0.0614,                0.05645,                 0.8264,                      1,                      1,                  0.995,                0.99495,                    inf,                0.03912,                0.67778,               0.007162,               0.007162,               0.007162
                     88,                0.06225,                0.05854,                0.82589,                      1,                      1,                  0.995,                0.99494,                    inf,                0.03906,                0.67753,               0.007129,               0.007129,               0.007129
                     89,                0.06145,                0.05717,                0.82637,                      1,                      1,                  0.995,                0.99494,                    inf,                0.03987,                0.67722,               0.007096,               0.007096,               0.007096
                     90,                0.06205,                0.05792,                0.82604,                      1,                      1,                  0.995,                0.99495,                    inf,                0.03882,                0.67689,               0.007063,               0.007063,               0.007063
                     91,                0.06282,                0.05777,                0.82617,                      1,                      1,                  0.995,                0.99494,                    inf,                  0.038,                 0.6767,                0.00703,                0.00703,                0.00703
                     92,                0.06134,                0.05671,                 0.8258,                      1,                      1,                  0.995,                0.99494,                    inf,                0.03749,                0.67659,               0.006997,               0.006997,               0.006997
                     93,                0.06098,                0.05646,                0.82619,                      1,                      1,                  0.995,                0.99494,                0.04234,                0.03703,                0.67654,               0.006964,               0.006964,               0.006964
                     94,                0.06055,                0.05623,                0.82639,                      1,                      1,                  0.995,                0.99495,                0.04221,                0.03679,                0.67651,               0.006931,               0.006931,               0.006931
                     95,                0.06088,                0.05655,                0.82579,                      1,                      1,                  0.995,                0.99495,                0.04253,                 0.0368,                0.67649,               0.006898,               0.006898,               0.006898
                     96,                0.06111,                  0.057,                0.82599,                      1,                      1,                  0.995,                0.99494,                0.04225,                0.03645,                0.67644,               0.006865,               0.006865,               0.006865
                     97,                0.06007,                0.05639,                0.82561,                      1,                      1,                  0.995,                0.99495,                0.04133,                0.03581,                0.67634,               0.006832,               0.006832,               0.006832
                     98,                0.06053,                 0.0564,                0.82518,                      1,                      1,                  0.995,                0.99495,                    inf,                0.03553,                0.67634,               0.006799,               0.006799,               0.006799
                     99,                0.06061,                 0.0559,                0.82608,                      1,                      1,                  0.995,                0.99494,                    inf,                0.03547,                0.67634,               0.006766,               0.006766,               0.006766
                    100,                    inf,                0.05527,                0.82619,                      1,                      1,                  0.995,                0.99495,                0.04098,                0.03544,                0.67632,               0.006733,               0.006733,               0.006733
                    101,                0.06098,                0.05584,                0.82575,                      1,                      1,                  0.995,                0.99495,                0.04099,                0.03536,                0.67636,                 0.0067,                 0.0067,                 0.0067
                    102,                 0.0609,                0.05651,                0.82625,                      1,                      1,                  0.995,                0.99495,                0.04128,                0.03636,                0.67635,               0.006667,               0.006667,               0.006667
                    103,                0.06051,                 0.0553,                0.82643,                      1,                      1,                  0.995,                0.99495,                    inf,                0.03764,                0.67633,               0.006634,               0.006634,               0.006634
